route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13120F2637212:2023-12-17T00:29:43Z,13120,0,171,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13121F2479839:2023-12-18T00:30:53Z,13121,1,172,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13121F2479842:2023-10-04T00:41:06Z,13121,1,173,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13121F2481804:2023-10-04T00:41:06Z,13121,1,174,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13122F2479614:2023-12-17T00:29:43Z,13122,0,175,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13123F2636786:2023-12-17T00:29:43Z,13123,1,176,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13124F2483472:2023-10-04T00:41:06Z,13124,0,177,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13124F2485800:2023-12-18T00:30:53Z,13124,0,178,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13125F2479810:2023-12-08T00:34:49Z,13125,,179,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13125F2481005:2023-12-18T00:30:53Z,13125,,180,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000044,OCESN13126F2479039:2023-12-18T00:30:53Z,13126,0,181,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13126F2480075:2023-12-08T00:34:49Z,13126,0,182,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13126F2481466:2023-10-04T00:41:06Z,13126,0,183,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13127F2636788:2023-12-17T00:29:43Z,13127,1,184,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13128F2635819:2023-12-17T00:29:43Z,13128,0,185,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13129F2479790:2023-12-08T00:34:49Z,13129,1,186,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13129F2480012:2023-11-18T00:35:21Z,13129,1,187,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13129F2646488:2023-12-18T00:30:53Z,13129,1,188,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000045,OCESN13129F2722392:2023-12-12T00:43:19Z,13129,1,189,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000046,OCESN13129F2742842:2023-11-29T00:36:36Z,13129,1,190,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13130F2479877:2023-12-18T00:30:53Z,13130,0,191,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13132F2476772:2023-10-04T00:41:06Z,13132,0,192,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000038,OCESN13132F2480002:2023-12-12T00:43:19Z,13132,0,193,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000034,OCESN13132F2480003:2023-12-18T00:30:53Z,13132,0,194,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13132F2486388:2023-12-08T00:34:49Z,13132,0,195,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13133F2634549:2023-12-17T00:29:43Z,13133,1,196,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13134F2642393:2023-12-17T00:29:43Z,13134,0,197,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000047,OCESN13135F2476580:2023-10-04T00:41:06Z,13135,1,198,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000035,OCESN13135F2479939:2023-12-08T00:34:49Z,13135,1,199,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000048,OCESN13135F2645610:2023-12-18T00:30:53Z,13135,1,200,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13136F2642374:2023-12-17T00:29:43Z,13136,0,201,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000033,OCESN13137F2636711:2023-12-17T00:29:43Z,13137,1,202,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000039,OCESN13138F2480327:2023-11-18T00:35:21Z,13138,0,203,
